filename,package_name,app_name,version_code,version_name,num_permissions,num_activities,num_services,num_receivers,num_providers,num_intents,total_methods,has_native_code,file_size_kb,num_files
0054d35c7bc28a76d79e6ba7887c341f.apk,test.app,Android Market,7,Unknown,13,2,4,3,0,2,661,0,100.318359375,14
1de012d8de8b0be0d0b27da1a0c03f52.apk,test.app,fifa-mobile-mod,7,Unknown,13,2,4,3,0,2,661,0,146.388671875,14
1e680e1a75f5508f48f56b85bbc254fe.apk,test.app,...,7,Unknown,13,2,4,3,0,2,661,0,66.5625,14
1e87d0abe94a38b5e305ac6371b4190f.apk,test.app,Ero video,7,Unknown,13,2,4,3,0,2,661,0,1060.359375,15
2bcf8dd1233186ae267a67479fdd1e4b.apk,test.app,Тайна фамилии и имени,7,Unknown,13,2,4,3,0,2,661,0,1052.8466796875,15
4cf8dc4ecd8a501444f099a763ba1a24.apk,test.app,EroTube Видео,7,Unknown,13,2,4,3,0,2,661,0,118.2373046875,14
5dc565a01bb789d8d171c20f52ac34c8.apk,test.app,Тайна фамилии и имени,7,Unknown,13,2,4,3,0,2,661,0,1052.869140625,15
7c6f09574962328ddedb1b2e962eec7c.apk,net.fabi.comadi.plitki.fortepianotwo,Плитки фортепиано 2,12097,Unknown,16,6,3,2,0,2,20411,0,1440.111328125,347
1c4e357a8ec5f13de4ffd57cc2711afe.apk,com.sdfge.wty,新编成语词典,38,Unknown,11,18,6,12,0,6,6805,1,3644.56640625,114
1d15765ffee294f27da4865356a994bd.apk,com.skyxu.harveshihun.jwdbozt, 侍魂 ,101,Unknown,16,15,4,3,0,5,2278,1,5087.5966796875,62
31c657bf77ea817893d9ba13dbcdf749.apk,com.rexsee.kkc.xsezse,功夫小子闯关,52,Unknown,9,9,3,6,0,4,13142,0,2471.328125,99
37b993b5f59bbed7538265885429e4c4.apk,com.anniezc.uqchprbksymxg,手电筒,105,Unknown,22,9,3,4,0,3,3471,1,3866.8447265625,178
41172f215cdf0086a58d6fd023b3bc3b.apk,com.ikedvikwdvukwsvukwsvuj,EasyPainoOnePointTouch,7,Unknown,9,4,1,2,0,2,1178,0,616.455078125,26
4b3206b49960db5937ff9ab83eade925.apk,com.fallentreegames.kkfsefw34fsdfdfw,Quell,29,Unknown,11,6,2,3,0,2,1288,1,16655.7509765625,206
4b3b5b7d8d36301ac099b1de94f97c11.apk,com.andan.dievksuqch,碰碰糖,102,Unknown,11,6,2,3,0,3,2188,1,10258.56640625,245
5b47d801ad308fc5a766970fdbd713fe.apk,com.qhCck.pKe.Tvqo,激情美女脱衣,2016,Unknown,25,5,7,5,0,4,9194,1,5459.5283203125,192
5c12d7911a2544a7edfe69ee9bbc9b89.apk,net.bving.dmsnsbabpvpvoco,疯狂射击,7,Unknown,12,13,1,2,0,2,1178,0,6786.0927734375,267
04c12809d3b1809c9980bd1e3e11e0f7.apk,com.shouji.ku,手机铃声酷,156,Unknown,40,104,24,15,3,11,193,1,21534.8701171875,2481
40b9b7452534e13100d73a8f314392eb.apk,com.shouji.ku,手机铃声酷,152,Unknown,40,104,24,15,3,11,190,1,21509.0908203125,2481
5d184dc03310ab257e97cf07141a553b.apk,com.musicropku,音乐裁剪大师,156,Unknown,40,106,24,15,3,11,193,1,18962.79296875,2516
a8fe9d0365b5779a43282848565d074a.apk,com.musicropku,音乐裁剪大师,133,Unknown,147,335,26,11,11,479,158,1,15697.646484375,2375
b2bb7d5f5e2f8e7151d18fdb0d17fbe7.apk,tbcom.HeavalRexet.PortalizerFree,传送门2,6607,Unknown,8,5,1,1,0,2,5310,1,34837.82421875,339
b3c7575f237a5ceed88b9a0420c1beb6.apk,com.gameiosdajlokp.dsa,超级陶艺,2,Unknown,25,5,7,2,0,3,0,1,60780.087890625,1341
b464a695cfacb29ae4b0c6ae934f217f.apk,com.davidamado.yruqiyriqroiq,合金装备,3517,Unknown,8,7,2,3,0,2,7739,1,10332.6318359375,42
b51837d70ca12d6ccfafd1a204e39b4a.apk,com.guanyiru.mengyou,猫和老鼠梦游记,47,Unknown,14,8,2,3,0,2,11036,0,2099.423828125,18
b6d0bb5f7e7a5d1cd151a6a979b9e38d.apk,com.diolatzis.piyr,炫光吃豆人,839,Unknown,7,4,1,2,0,2,9194,0,12058.2744140625,40
b9b5ac2c9ea9c72c220d560bcaf265b7.apk,com.jfbc.yrlktyudtwe,最后的黄昏,5253,Unknown,6,5,1,1,0,2,4984,1,34293.4375,299
be335fe8fadd6418b8f2c1538aabd9bd.apk,com.mzkuangrendhs,点赞神器,291,Unknown,28,17,9,4,1,7,563,1,4625.478515625,664
caed8a52a079ea0679071d976c698f35.apk,wap.ccw.wetwsfsfsd,疯狂脑筋急转弯,3504,Unknown,6,13,1,2,0,2,6493,0,803.185546875,66
